SQL 查询结果

Host: localhost
Database: webpos
Generation Time: 2016-08-24 16:05:32
Generated by: phpMyAdmin 4.1.4 / MySQL 5.6.22-log
SQL 查询： SELECT a.* FROM `ecs_account_log` as a ,ecs_users as b where a.user_id=b.user_id and b.user_rank!=1 and a.user_money !=0 group by a.user_id LIMIT 0, 250 ;
记录： 229

log_id	user_id	user_money	frozen_money	rank_points	pay_points	change_time	change_desc	change_type	
1	1140	138.00	0.00	0	0	1429741332	充值	0
935	1873	3.33	0.00	0	0	1462664392	訂單號2016050825313,回贈:金錢 3.33	99
377	1987	1.52	0.00	0	0	1458678059	訂單號2016032323300,回贈:金錢 1.52	99
525	2055	2.39	0.00	0	0	1459900721	訂單號2016040679413,回贈:金錢 2.39	99
1938	2077	5.70	0.00	0	0	1468552986	訂單號2016071515784,回贈:金錢 5.70	99
316	2208	5.00	0.00	0	0	1458012599	訂單號2016031572441,回贈:金錢 5.00	99
810	2289	6.70	0.00	0	0	1461901717	訂單號2016042913678,回贈:金錢 6.70	99
1986	2319	3.42	0.00	0	0	1468878403	訂單號2016071906562,回贈:金錢 3.42	99
1837	2335	5.60	0.00	0	0	1467943220	訂單號2016070846823,回贈:金錢 5.60	99
1568	2388	2.40	0.00	0	0	1466382041	訂單號2016062067404,回贈:金錢 2.40	99
1272	2427	11.30	0.00	0	0	1464670555	訂單號2016053132575,回贈:金錢 11.30	99
1315	2432	18.58	0.00	0	0	1464996305	訂單號2016060427852,回贈:金錢 18.58	99
843	2541	18.70	0.00	0	0	1462148527	訂單號2016050262795,回贈:金錢 18.70	99
2167	2632	7.84	0.00	0	0	1469926477	訂單號2016073125546,回贈:金錢 7.84	99
1293	2778	8.89	0.00	0	0	1464835111	訂單號2016060299874,回贈:金錢 8.89	99
292	2859	10.30	0.00	0	0	1457739059	訂單號2016031215385,回贈:金錢 10.30	99
736	2878	2.34	0.00	0	0	1461380695	訂單號2016042358905,回贈:金錢 2.34	99
1794	2914	13.65	0.00	0	0	1467698220	訂單號2016070520302,回贈:金錢 13.65	99
1237	2916	1.88	0.00	0	0	1464479213	訂單號2016052976346,回贈:金錢 1.88	99
480	2952	7.80	0.00	0	0	1459553519	訂單號2016040251130,回贈:金錢 7.80	99
1943	2955	3.20	0.00	0	0	1468619205	訂單號2016071639236,回贈:金錢 3.20	99
594	3001	16.85	0.00	0	0	1460261400	訂單號2016041054519,回贈:金錢 16.85	99
1345	3179	6.80	0.00	0	0	1465175346	訂單號2016060682398,回贈:金錢 6.80	99
1788	3181	4.25	0.00	0	0	1467687514	訂單號2016070515367,回贈:金錢 4.25	99
1984	3188	1.71	0.00	0	0	1468817421	訂單號2016071809765,回贈:金錢 1.71	99
1428	3287	6.30	0.00	0	0	1465686788	訂單號2016061283779,回贈:金錢 6.30	99
1741	3367	2.55	0.00	0	0	1467411970	訂單號2016070204714,回贈:金錢 2.55	99
568	3491	5.10	0.00	0	0	1460151100	訂單號2016040905137,回贈:金錢 5.10	99
2236	3504	2.40	0.00	0	0	1470442224	訂單號2016080623250,回贈:金錢 2.40	99
368	3569	2.56	0.00	0	0	1458596881	訂單號2016032239489,回贈:金錢 2.56	99
2027	3570	5.74	0.00	0	0	1469068130	訂單號2016072143240,回贈:金錢 5.74	99
1244	3589	3.00	0.00	0	0	1464493101	訂單號2016052916983,回贈:金錢 3.00	99
608	3605	6.15	0.00	0	0	1460430074	訂單號2016041272781,回贈:金錢 6.15	99
908	3647	6.00	0.00	0	0	1462493760	訂單號2016050662478,回贈:金錢 6.00	99
444	3681	11.88	0.00	0	0	1459215711	訂單號2016032954537,回贈:金錢 11.88	99
1063	3692	4.84	0.00	0	0	1463274845	訂單號2016051536247,回贈:金錢 4.84	99
2162	3695	4.00	0.00	0	0	1469921602	訂單號2016073144464,回贈:金錢 4.00	99
673	3722	4.88	0.00	0	0	1461019166	訂單號2016041992431,回贈:金錢 4.88	99
541	3730	3.34	0.00	0	0	1459996003	訂單號2016040721392,回贈:金錢 3.34	99
836	3753	2.28	0.00	0	0	1462074197	訂單號2016050183247,回贈:金錢 2.28	99
844	3761	7.65	0.00	0	0	1462151005	訂單號2016050261268,回贈:金錢 7.65	99
1309	3775	8.43	0.00	0	0	1464985665	訂單號2016060442496,回贈:金錢 8.43	99
876	3777	14.60	0.00	0	0	1462336744	訂單號2016050416632,回贈:金錢 14.60	99
424	3806	11.79	0.00	0	0	1459047882	訂單號2016032708507,回贈:金錢 11.79	99
784	3837	7.28	0.00	0	0	1461726947	訂單號2016042753453,回贈:金錢 7.28	99
494	3855	6.40	0.00	0	0	1459638209	訂單號2016040321927,回贈:金錢 6.40	99
529	3953	5.48	0.00	0	0	1459910224	訂單號2016040611263,回贈:金錢 5.48	99
